Data Set 1:Time(s),Data Set 1:Position Y 1(m),Data Set 1:Velocity Y 1(m/s),Data Set 1:Acceleration Y 1(m/s??),Data Set 1:Position Y 2(m),Data Set 1:Velocity Y 2(m/s),Data Set 1:Acceleration Y 2(m/s??),Data Set 2:Time(s),Data Set 2:Position Y 1(m),Data Set 2:Velocity Y 1(m/s),Data Set 2:Acceleration Y 1(m/s??),Data Set 2:Position Y 2(m),Data Set 2:Velocity Y 2(m/s),Data Set 2:Acceleration Y 2(m/s??),Data Set 3:Time(s),Data Set 3:Position Y 1(m),Data Set 3:Velocity Y 1(m/s),Data Set 3:Acceleration Y 1(m/s??),Data Set 3:Position Y 2(m),Data Set 3:Velocity Y 2(m/s),Data Set 3:Acceleration Y 2(m/s??),Data Set 4:Time(s),Data Set 4:Position Y 1(m),Data Set 4:Velocity Y 1(m/s),Data Set 4:Acceleration Y 1(m/s??),Data Set 4:Position Y 2(m),Data Set 4:Velocity Y 2(m/s),Data Set 4:Acceleration Y 2(m/s??),Data Set 5:Time(s),Data Set 5:Position Y 1(m),Data Set 5:Velocity Y 1(m/s),Data Set 5:Acceleration Y 1(m/s??),Data Set 5:Position Y 2(m),Data Set 5:Velocity Y 2(m/s),Data Set 5:Acceleration Y 2(m/s??),Data Set 6:Time(s),Data Set 6:Position Y 1(m),Data Set 6:Velocity Y 1(m/s),Data Set 6:Acceleration Y 1(m/s??),Data Set 6:Position Y 2(m),Data Set 6:Velocity Y 2(m/s),Data Set 6:Acceleration Y 2(m/s??),Data Set 7:Time(s),Data Set 7:Position Y 1(m),Data Set 7:Velocity Y 1(m/s),Data Set 7:Acceleration Y 1(m/s??),Data Set 7:Position Y 2(m),Data Set 7:Velocity Y 2(m/s),Data Set 7:Acceleration Y 2(m/s??),Data Set 9:Time(s),Data Set 9:Position Y 1(m),Data Set 9:Velocity Y 1(m/s),Data Set 9:Acceleration Y 1(m/s??),Data Set 9:Position Y 2(m),Data Set 9:Velocity Y 2(m/s),Data Set 9:Acceleration Y 2(m/s??),Data Set 11:Time(s),Data Set 11:Position Y 1(m),Data Set 11:Velocity Y 1(m/s),Data Set 11:Acceleration Y 1(m/s??),Data Set 11:Position Y 2(m),Data Set 11:Velocity Y 2(m/s),Data Set 11:Acceleration Y 2(m/s??),Data Set 12:Time(s),Data Set 12:Position Y 1(m),Data Set 12:Velocity Y 1(m/s),Data Set 12:Acceleration Y 1(m/s??),Data Set 12:Position Y 2(m),Data Set 12:Velocity Y 2(m/s),Data Set 12:Acceleration Y 2(m/s??)
0.82,2.195683241,0,0.052234204,1.784727693,0.818037904,-0.099738439,0.82,3.223194122,0,0,1.249284863,0,0.133896247,0.82,3.916451693,0,0,1.497034431,0.827227533,-0.021156717,0.82,3.916206598,0,0,1.266683698,0.068921347,3.33085018,0.82,3.914491415,0.002040466,0.007090354,1.791834235,0.820760181,-0.021394089,0.82,3.914491415,0,0,1.292169333,0.063646005,3.143299233,0.82,4.342355251,0.403147605,0.016086585,2.068500042,0.401105483,-0.057183264,0.82,4.270309448,0,0.004136912,3.837544441,0,0,0.82,4.282562256,0,0.231158402,3.311903715,0,0,0.82,4.731256008,0.793191459,-0.033095065,3.308717966,0,0
0.86,2.195683241,0,0.2761798,1.81731987,0.815485169,-0.24888354,0.86,3.223194122,0,0,1.249284863,0.001191265,0.638044152,0.86,3.916451693,0,0,1.530116677,0.826886627,-0.020446095,0.86,3.916206598,0,0,1.266928792,0.266666379,5.302886525,0.86,3.914736271,0.001530349,0.026021958,1.824671507,0.820249567,-0.064525822,0.86,3.914491415,0,0,1.292169333,0.247266392,5.136251243,0.86,4.358529091,0.401616428,-0.025163876,2.084673643,0.400595367,-0.027765485,0.86,4.270309448,0.000170204,0.011228761,3.837544441,0,0,0.86,4.282562256,0.00476506,0.918011101,3.311903715,0,0,0.86,4.763113022,0.792000029,-0.044913434,3.308717966,0,0
0.9,2.195683241,0.009359585,0.864821889,1.849912047,0.808337662,-0.713915898,0.9,3.223194122,0,0,1.249284863,0.02314407,1.937056961,0.9,3.916451693,0,0,1.563198924,0.826206389,-0.034153381,0.9,3.916206598,0,0,1.283347368,0.569920739,5.345901785,0.9,3.914736271,-0.001530349,0.260485865,1.857508659,0.818377568,-0.24001505,0.9,3.914491415,0,0,1.306872606,0.545585155,5.32982733,0.9,4.374457359,0.400595533,-0.036635011,2.10060215,0.398893489,-0.022926402,0.9,4.270309448,0.000680817,0.021866534,3.837544441,0,0,0.9,4.282562256,0.040161941,2.46413581,3.311903715,0,0,0.9,4.794724941,0.788766146,-0.039115548,3.308717966,0,0.005790757
0.94,2.195683241,0.047138499,1.908094841,1.882504225,0.778216206,-1.633930089,0.94,3.223194122,0,0,1.249284863,0.112657001,4.133038039,0.94,3.916451693,0,0,1.59628129,0.823993898,-0.044201949,0.94,3.916206598,0,0,1.316919804,0.773792134,3.402104693,0.94,3.914491415,0.007659528,0.909374981,1.890100837,0.811230805,-0.734472026,0.94,3.914491415,0,0,1.339709759,0.756093363,3.477036838,0.94,4.390631199,0.398382876,-0.03616705,2.116530657,0.398382876,-0.015364868,0.94,4.270309448,0.002382861,0.021630139,3.837544441,0,0,0.94,4.282562256,0.169496735,4.602322056,3.311903715,0,0,0.94,4.826091766,0.788085659,-0.027045838,3.308717966,0,0.047271404
0.98,2.195683241,0.172047151,2.634422854,1.914851308,0.680875447,-2.544961099,0.98,3.223194122,0,0,1.251000285,0.37251595,5.686604245,0.98,3.916451693,0,0,1.629118443,0.821781324,-0.034155508,0.98,3.916206598,0,0,1.350982308,0.834884908,1.426283845,0.98,3.914491415,0.048840874,2.016806745,1.922938108,0.77991825,-1.688527208,0.98,3.914491415,0,0,1.373282194,0.821101169,1.486090736,0.98,4.406314373,0.396680832,-0.012055913,2.132459164,0.398042467,-0.015365558,0.98,4.270554543,0.002893474,0.021746497,3.837544441,0,0,0.98,4.289423943,0.451988313,5.543722921,3.311903715,0,0,0.98,4.857703686,0.78876747,-0.096286796,3.308717966,0,0.251838248
1.02,2.209161043,0.304955575,2.223050544,1.938866615,0.539799531,-2.574861268,1.02,3.223194122,0,0,1.277466059,0.668622553,4.790109456,1.02,3.916451693,0,0,1.661955714,0.821100589,-0.020324563,1.02,3.916206598,0,0,1.384799719,0.84594604,0.402630698,1.02,3.914491415,0.180215968,2.766179128,1.955285192,0.679173734,-2.617286921,1.02,3.914491415,0,0,1.406609535,0.833353731,0.424847973,1.02,4.422243118,0.397702058,0.005555282,2.148387671,0.397531854,-0.022811999,1.02,4.270554543,0.002893474,0.104234542,3.837544441,0,0,1.02,4.31981039,0.709805555,4.13019992,3.311903715,0,0,1.02,4.889315605,0.786217385,-0.386552908,3.308717966,0.00833869,0.800539705
1.06,2.223129272,0.368601746,1.276674232,1.95626545,0.439395424,-1.70708381,1.06,3.223194122,0,0,1.311528563,0.804933988,2.566121323,1.06,3.916451693,0,0,1.694792867,0.820760429,-0.020439311,1.06,3.916206598,0,0,1.418617129,0.845435593,0.053185245,1.06,3.928459406,0.322142575,2.262639227,1.979300499,0.532481819,-2.592465219,1.06,3.914491415,0,0,1.439936876,0.832672914,0.050457275,1.06,4.438171387,0.398042467,0.00141837,2.164316177,0.39582981,-0.022220322,1.06,4.270799637,0.003063679,0.532868054,3.837544441,0,0,1.06,4.35313797,0.805784927,1.978296097,3.311903715,0,0,1.06,4.920682907,0.771581464,-1.062811755,3.308717966,0.043054753,1.791108653
1.1,2.239792824,0.395488739,0.522227176,1.971458793,0.403317975,-0.756108949,1.1,3.223194122,0,0,1.345345974,0.840841648,0.931480037,1.1,3.916451693,0,0,1.727630138,0.820080356,-0.034980418,1.1,3.916206598,0,0,1.45243454,0.844585399,-0.028122032,1.1,3.943897724,0.38170533,1.185219275,1.995719075,0.43497127,-1.641721522,1.1,3.914491415,0,0,1.473264217,0.830630461,-0.026831863,1.1,4.454100132,0.398042467,-0.011346958,2.17999959,0.395319197,-0.012052234,1.1,4.270799637,0.019741058,1.713114756,3.837544441,0,0,1.1,4.386465073,0.828077727,0.639105975,3.311903715,0,0,1.1,4.952049732,0.721715556,-2.140711165,3.308717966,0.15843461,2.539055077
1.14,2.255476236,0.396510296,0.130591431,1.987632394,0.398552335,-0.248885495,1.14,3.223194122,0,0,1.379163504,0.844585399,0.190141634,1.14,3.916451693,0,0.003781745,1.76046741,0.8178677,-0.049643977,1.14,3.916206598,0,0,1.486252069,0.84237299,-0.045500224,1.14,3.96031642,0.399914881,0.420125477,2.011402607,0.405190885,-0.691695231,1.14,3.914491415,0,0,1.506346464,0.829609235,-0.03533869,1.14,4.4700284,0.397361649,-0.028485363,2.195928097,0.395149158,-0.008263706,1.14,4.270799637,0.097172128,3.804268062,3.837544441,0,0,1.14,4.419547558,0.827737318,0.108257856,3.311903715,0,0,1.14,4.982191086,0.58591432,-2.780598071,3.320725679,0.28998057,2.220446405
1.18,2.271404743,0.397361484,0.011111598,2.003560781,0.395318866,-0.089921092,1.18,3.223194122,0,0,1.412980914,0.841691511,-0.03143961,1.18,3.916451693,0,0.033917388,1.793059587,0.815484259,-0.061812627,1.18,3.916206598,0,0,1.519824386,0.840160416,-0.037582775,1.18,3.976244926,0.399233732,0.078698597,2.027576208,0.400085168,-0.210008469,1.18,3.914491415,0,0,1.539673805,0.82773707,-0.033797409,1.18,4.485957146,0.395319197,-0.033448508,2.211611509,0.39497945,-0.012038782,1.18,4.271780014,0.335248642,5.438297205,3.837544441,0,0,1.18,4.452629566,0.82654655,-0.019483958,3.311903715,0,0,1.18,4.999099731,0.44671264,-2.160375179,3.33469367,0.35839147,1.292635261
